Depth,PrunedNodes
8108352,31
13180592,217
7697032,23
8107040,31
8107232,63
13190160,251
7842304,127
7694376,43
8105664,127
13198576,101
13204912,71
8106912,63
13192080,62
8419488,31
8107424,31
8105696,63
8105568,126
8162136,123
13198544,15
8419136,15
8105504,63
8051056,99
7699848,61
8105760,127
7701424,137
13182800,63
7699432,246
13426704,31
13191024,109
13418736,63
8106400,127
7699176,31
13199024,215
7705008,10
8047568,7
13199888,90
7704688,7
8051152,52
7744904,252
8413728,190
13194512,62
8422016,31
13202928,24
7684776,63
13200912,36
7953920,99
7696968,15
8105176,31
7999264,62
7833784,31
7703248,14
13205200,62
13201072,68
7955936,30
13190640,125
8102776,31
13198608,112
7947520,63
8104376,15
13190928,31
13199344,229
8104664,31
7998752,126
7691264,127
8142704,243
13199536,215
7855456,14
13199120,258
7832856,63
13199056,204
7744424,127
13198736,192
7703792,69
7691360,127
7940160,385
7703664,10
7952288,181
8414240,190
13195024,62
7687112,7
8422528,62
13203440,133
13179024,68
7707824,29
7952384,94
8100376,127
13203504,124
7784824,63
13203152,95
8058736,63
7846048,15
13203248,18
7997152,63
8104600,126
8359536,31
13199600,79
8104216,127
13174576,216
8165496,31
13199248,134
13199408,124
7683232,63
8052144,15
13199152,75
13203024,70
8104984,31
7703056,20
7697448,63
13199376,128
8051984,29
13199280,208
13198640,174
13198768,120
8102744,63
7683880,63
13173680,208
13423696,62
7702320,22
7947168,94
13199088,159
13199312,160
7701360,127
8046352,7
13198960,91
8144368,127
13198704,110
7684424,179
7709200,24
8103032,126
7841792,251
13190800,62
7701232,40
7714384,26
8057808,63
13193968,310
7687880,108
13201936,70
13199856,64
13199216,237
13198832,174
7706928,55
13181744,154
7702288,7
7703152,12
13180496,46
13199504,217
7713896,63
13199184,207
13214616,31
7831992,62
13192016,77
7700464,52
8154224,127
13200400,33
7702768,63
7700944,25
13199472,29
8103096,63
7841856,250
13198896,80
8001472,62
7701136,47
7956160,91
13174448,77
8144272,63
13200208,52
13198992,201
8046672,63
7700880,28
13200144,53
7783992,63
7941056,122
7708592,50
8105336,31
8417056,31
13200560,119
13199440,92
8150896,63
8359088,63
8165848,126
13195952,78
13194640,45
13194544,30
7698912,31
13194928,170
13195440,156
13426480,127
13194800,156
13193520,328
7712240,29
7844832,63
8164056,63
7843200,251
13195088,84
7785208,63
13194096,76
13185328,362
13193616,92
7703984,31
7951392,88
13194384,337
13194064,90
8103192,63
13194416,153
7708848,26
7687848,38
13193872,183
8057840,63
7942720,31
8004448,127
13193584,218
7950688,189
7951584,94
13194320,131
7842912,189
8102136,141
13181520,25
7683784,31
13421040,410
13180848,174
8417536,190
13180528,99
7833656,31
7697256,31
13180720,159
7713840,43
13181072,158
7946240,60
13180912,60
13179760,193
13180080,494
8164344,63
8051664,36
13179600,531
13179184,251
8416704,126
7716400,6
7940640,94
13176336,158
8101080,126
7715536,12
13184752,78
13207096,253
7715408,14
8103384,63
7714640,23
7684168,127
13179920,217
8003968,127
13188336,77
7715024,12
7714096,23
8058000,122
